nid,xx,xy,xz,vx,vy,vz,ns
1118,0.9710189544488153,0.08100436121857069,0.22485658443706058,-0.07891610843415105,0.9967137470024036,-0.01827441835019636,GUI_Y
1124,0.970952645006571,0.08187981258997061,0.22482583802796147,-0.0797692689991358,0.996642210770862,-0.01847071826194698,GUI_Y
1129,0.9709526235965007,0.08187981244733637,0.22482593054330066,-0.07976926710028147,0.9966422107825802,-0.018470725830213943,GUI_Y
1200,0.9733980877621573,0.034226053871078625,0.22654964130933783,-0.03333510586195507,0.9994141169887556,-0.007758445769496945,GUI_Y
1320,0.9738898894440967,-0.01708551537036791,0.22637704919689572,0.016641839852405405,0.9998540319289255,0.0038683332066885476,GUI_Y
1410,0.9722842261661988,-0.05982491637623314,0.22601850129795303,0.058271192894401164,0.998208885644972,0.013545800016491458,GUI_Y
1453,0.9707954948305813,-0.08238648957134577,0.2253188264498941,0.08025325749397057,0.9966004547139794,0.018626548942193333,GUI_Y
1458,0.970862376430102,-0.08150614438532627,0.22535082529232733,0.079395410327401,0.9966728392142721,0.018428792459227527,GUI_Y
1460,0.9710768437753257,-0.07835262363012488,0.22554518361877665,0.07632105168938758,0.9969257075480981,0.017726553493272016,GUI_Y
1464,0.970862376430102,-0.08150614438532627,0.22535082529232733,0.079395410327401,0.9966728392142721,0.018428792459227527,GUI_Y
1469,0.970812814980682,-0.08157808802223167,0.22553823140195398,0.07946190351869652,0.9966669531767556,0.018460507429329864,GUI_Y
1475,0.9707954948364057,-0.08238648879011243,0.22531882671045264,0.08025325672824653,0.9966004547785621,0.018626548785898974,GUI_Y
1481,0.9710516260560841,-0.08150614775469926,0.22453393376508596,0.07941089013225694,0.9966728389387307,0.018361989277131268,GUI_Y
1486,0.9708128149812876,-0.08157808801330226,0.22553823140257676,0.07946190350999005,0.9966669531774864,0.018460507427346645,GUI_Y
1492,0.9710516247693973,-0.08150614530345933,0.22453394021947978,0.07941088762283574,0.9966728391391888,0.018361989249043222,GUI_Y
1497,0.9707959331451034,-0.0823863099659236,0.22531700361740728,0.08025311757774072,0.9966004695614983,0.01862635736945271,GUI_Y
1503,0.9708623963417783,-0.08150545477639377,0.22535098892881048,0.07939473571294636,0.9966728956090324,0.018428648875546207,GUI_Y
1560,0.973511374349614,-0.03332274313696935,0.22619725639749336,0.03245809529281513,0.9994446431843175,0.00754170140849992,GUI_Y
1574,0.9737812934478468,-0.019396619299709487,0.22665781189003947,0.018891619150490452,0.9998118678830243,0.004397222547322903,GUI_Y
1579,0.9737363798292205,-0.019414070190772452,0.22684919324456926,0.018907749984481876,0.9998115291786887,0.004404896354803953,GUI_Y
1585,0.9737817489652805,-0.019396619299709487,0.22665585485899456,0.01889162798765125,0.9998118678830243,0.004397184580393968,GUI_Y
1590,0.9711921440176732,-0.019251872721518168,0.2375188093500587,0.018700733435400088,0.9998146655239232,0.004573529519271146,GUI_Y
1591,0.9737812934478468,-0.019396619299709487,0.22665781189003947,0.018891619150490452,0.9998118678830243,0.004397222547322903,GUI_Y
1596,0.9737817489652805,-0.019396619299709487,0.22665585485899456,0.01889162798765125,0.9998118678830243,0.004397184580393968,GUI_Y
1602,0.973926621112266,-0.019413741028759472,0.22603106721889563,0.018911123277353368,0.9998115355702135,0.004388935761717465,GUI_Y
1607,0.973735921064298,-0.019414070885224562,0.22685116239668426,0.018907741752903988,0.999811529165204,0.004404934748894163,GUI_Y
1615,0.960730016957679,-0.01909376971386453,0.2768271346429245,0.018347302462627474,0.999817697361931,0.005286637327352261,GUI_Y
1650,0.9485106872228674,-0.020226849090202576,0.3160986409333106,0.019189308349438893,0.9997954163607083,0.0063949878176571655,GUI_Y
1680,0.9349534746675283,-0.02077403274710981,0.3541616012084559,0.01942694650289206,0.9997841964961348,0.0073589527890699676,GUI_Y
1700,0.9338869480398252,-0.03296304841096141,0.3560457916059639,0.03080049856081767,0.9994565710622231,0.01174273600778177,GUI_Y
1790,0.9315027437502978,-0.08030949629442068,0.35475769645013144,0.07505093246997331,0.9967699758745427,0.02858273483155652,GUI_Y
